,,Plan,Community,,Professional,,Enterprise,,Custom,
,,,Free,,"90,000 Rwf",,"320,000 Rwf",,Negiotated,
Category,Feature,Icon,Status,Units,Status,Units,Status,Units,Status,Units
,{unit} Users,fas fa-users,Available,3,Available,15,Available,60,Available,Unlimited
,{unit} Storage ,fas fa-users,Available,250 Mb,Available,50 GB,Available,200 GB,Available,Unlimited
,Free Training Videos,fas fa-users,Available,,Extensive,,Available,,Available,
,Market Insights,fas fa-users,Limited,,Limited,,Limited,,Limited,
,Weekly/Monthly Reports,fas fa-users,Limited,,Limited,,Limited,,Limited,
,Operation Insights,fas fa-users,Limited,,Limited,,Limited,,Limited,
,Social Media Intergration,fas fa-users,Limited,,Limited,,Limited,,Limited,
,Dedicated support Technician,fas fa-users,Unavailable,,Unavailable,,Available,,Available,
,24/7 Support ,fas fa-users,Available,,Available,,Available,,Available,
,Live Report,fas fa-users,Unavailable,,Limited,,Extensive,,Extensive,
,Mail Server Intergration,fas fa-users,Unavailable,,Limited,,Extensive,,Extensive,
,Custom Domain,fas fa-users,Unavailable,,Unavailable,,Available,,Available,
,Onsite Hosting,fas fa-users,Unavailable,,Unavailable,,Available,,Available,
,Dedicated Server,fas fa-users,Unavailable,,Unavailable,,Unavailable,,Available,
,Backup Services,fas fa-users,Unavailable,,Limited,,Available,,Available,
,Onsite Training,fas fa-users,Unavailable,,Unavailable,,Available,,Available,
,IoT intergration,fas fa-users,Unavailable,,Unavailable,,Unavailable,,Available,
,Production Intergration,fas fa-users,Unavailable,,Unavailable,,Limited,,Available,
,Operation Intergration,fas fa-users,Unavailable,,Unavailable,,Limited,,Available,
,Custom Intergration,fas fa-users,Unavailable,,Unavailable,,Unavailable,,Available,
,Human Resoources Intergration,fas fa-users,Unavailable,,Unavailable,,Limited,,Available,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
